,Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones
39,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2c(F)cc(C#Cc3ccc(CN4CCC(CO)CC4)cc3)cc2C1=O,EGFR P MAPK1,CHEMBL5180839,5.0,0.933905303478241,0.59,0.0105873277806186,0.0,0.03,O=C(Nc1nccs1)C(c1ncn2c1CCC2)N1Cc2c(F)cc(C#Cc3ccc(CN4CCC(CO)CC4)cc3)cc2C1=O,624.7420000000002,4.364800000000004,2.0,8.0,1.0
41,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,EGFR P MAPK1,CHEMBL304271,0.45,0.9110533595085144,0.5590909090909091,0.0124605892901303,0.0,0.3,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,542.0150000000001,3.57442,5.0,7.0,1.0
53,C=CC(=O)N1CCCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,EGFR P MAPK1,CHEMBL5286055,86.5,0.9125145673751832,0.46,0.2602336578575935,0.0,0.01,C=CC(=O)N1CCCCCCCCn2cc(c3ccccc32)-c2ccnc(n2)Nc2cccc1c2,465.6010000000001,6.715100000000006,1.0,5.0,1.0
54,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,EGFR P MAPK1,CHEMBL4537790,0.02,0.984567165374756,0.6471368861024033,0.0195897009148827,0.0,0.1033333333333333,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,542.6880000000002,3.7749200000000025,1.0,9.0,1.0
59,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P MAPK1,CHEMBL338935,220.0,0.9009318947792052,0.96,0.008057394318976,0.0,0.7433333333333333,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,523.5930000000002,3.551700000000003,2.0,7.0,1.0
64,COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,EGFR P SRC,CHEMBL320705,66.0,0.1418655514717102,0.92,0.5489544058242377,0.0,0.32,COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,427.2910000000001,5.054500000000003,1.0,6.0,1.0
68,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,EGFR P SRC,CHEMBL324926,330.0,0.0804212763905525,0.98,0.5087789686744189,0.0,0.22,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,457.3170000000002,5.063100000000004,1.0,7.0,1.0
77,CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,EGFR P SRC,CHEMBL132348,31.0,0.8559564352035522,0.97,0.0196017752810008,0.0,0.0,CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,524.5770000000002,4.1510000000000025,2.0,7.0,1.0
81,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,EGFR P SRC,CHEMBL1202477,100.0,0.0379024669528007,0.91,0.2246393899439736,0.0,0.235,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,540.8650000000005,4.721700000000006,1.0,7.0,1.0
84,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,EGFR P SRC,CHEMBL4786787,40.0,0.0151124633848667,0.92,0.5741865470528842,0.0,0.26,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,573.7270000000002,3.804300000000003,2.0,10.0,1.0
