Smiles,Targets,Molecule ChEMBL ID,EGFR,MAPK1,SRC,STAT3,0,BBB,SMILES,peso_molecular,logP,donadores_H,aceptores_H,violaciones,Targets_nuevo,after_P_
OCCNCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,EGFR P STAT3,CHEMBL391321,45.0,0.3434158265590668,0.4875806451612903,0.9010600209305144,0.0,0.02,OCCNCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,431.4750000000002,3.0919000000000008,3.0,8.0,0.0,EGFR_P_STAT3,STAT3
Nc1nc(Nc2cccc(Cl)c2)c2c(n1)-c1ccccc1C2,EGFR P STAT3,CHEMBL3970063,45100.0,0.3509087562561035,0.485,0.902256438933426,0.0,0.08,Nc1nc(Nc2cccc(Cl)c2)c2c(n1)-c1ccccc1C2,308.77200000000005,4.027000000000001,2.0,4.0,0.0,EGFR_P_STAT3,STAT3
Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/O,EGFR P STAT3,CHEMBL256295,12.0,0.1801284402608871,0.5659037287871005,0.943431951898132,0.0,0.8,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/O,377.383,3.147600000000001,3.0,8.0,0.0,EGFR_P_STAT3,STAT3
Oc1cccc(Nc2nnnc3sc4c(c23)CCC4)c1,EGFR P STAT3,CHEMBL4246256,52110.0,0.1763766556978225,0.6018701298701299,0.97049488900912,0.0,0.04,Oc1cccc(Nc2nnnc3sc4c(c23)CCC4)c1,284.34400000000005,3.0242000000000004,2.0,6.0,0.0,EGFR_P_STAT3,STAT3
NC(=S)N1N=C(c2ccc(F)cc2)CC1c1ccc2ccccc2c1,EGFR P STAT3,CHEMBL2325110,3280.0,0.134401187300682,0.282,0.9302539650296824,0.0,0.01,NC(=S)N1N=C(c2ccc(F)cc2)CC1c1ccc2ccccc2c1,349.4340000000001,4.373600000000002,1.0,2.0,0.0,EGFR_P_STAT3,STAT3
Nc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,EGFR P STAT3,CHEMBL5199341,1.6,0.0101688848808407,0.520406976744186,0.901268913433991,0.0,0.44,Nc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,286.3380000000001,4.108800000000002,2.0,4.0,0.0,EGFR_P_STAT3,STAT3
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,EGFR P STAT3,CHEMBL73820,25000.0,0.3417051434516907,0.2,0.9101740010009186,0.0,0.31,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,205.169,1.0893799999999998,3.0,4.0,0.0,EGFR_P_STAT3,STAT3
Nc1nc(Nc2ccccc2)c2c(n1)-c1ccccc1C2,EGFR P STAT3,CHEMBL3985894,232700.0,0.0479969829320907,0.435,0.9329968630451416,0.0,0.03,Nc1nc(Nc2ccccc2)c2c(n1)-c1ccccc1C2,274.32700000000006,3.373600000000001,2.0,4.0,0.0,EGFR_P_STAT3,STAT3
Clc1nc2ccccc2c2nnc(/N=C/C=C/c3ccccc3)n12,EGFR P STAT3,CHEMBL4638857,7560.0,0.03216153383255,0.3404069767441861,0.90569804074229,0.0,0.02,Clc1nc2ccccc2c2nnc(/N=C/C=C/c3ccccc3)n12,333.782,4.346600000000003,0.0,5.0,0.0,EGFR_P_STAT3,STAT3
NC(=S)N1N=C(c2ccc(Br)cc2)CC1c1cccc2ccccc12,EGFR P STAT3,CHEMBL2325105,5680.0,0.0924135744571685,0.3501999999999999,0.9232498155647352,0.0,0.215,NC(=S)N1N=C(c2ccc(Br)cc2)CC1c1cccc2ccccc12,410.34000000000015,4.997000000000003,1.0,2.0,0.0,EGFR_P_STAT3,STAT3
O=C(/C=C/c1ccccc1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR P STAT3,CHEMBL509914,9.12,0.0214261952787637,0.520406976744186,0.915551991080322,0.0,0.64,O=C(/C=C/c1ccccc1)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,445.3200000000001,5.355900000000004,1.0,5.0,1.0,EGFR_P_STAT3,STAT3
N#Cc1ccc(Nc2nncc3ccccc23)cc1,EGFR P STAT3,CHEMBL3915508,4.1,0.0217796508222818,0.43,0.906699673337674,0.0,0.27,N#Cc1ccc(Nc2nncc3ccccc23)cc1,246.273,3.245080000000001,1.0,4.0,0.0,EGFR_P_STAT3,STAT3
C=CC(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR P STAT3,CHEMBL524115,0.912,0.0488674081861972,0.58,0.920862386112703,0.0,0.75,C=CC(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,369.222,3.8285000000000022,1.0,5.0,0.0,EGFR_P_STAT3,STAT3
Nc1nc(Nc2cccc(Br)c2)c2c(n1)-c1ccccc1C2,EGFR P STAT3,CHEMBL3902576,98800.0,0.1256722062826156,0.495,0.910467091985802,0.0,0.04,Nc1nc(Nc2cccc(Br)c2)c2c(n1)-c1ccccc1C2,353.22300000000007,4.136100000000002,2.0,4.0,0.0,EGFR_P_STAT3,STAT3
Cc1ccc(Nc2ncnn3c(C)ccc23)cc1O,EGFR P STAT3,CHEMBL187431,29400.0,0.035269159823656,0.5855438628465893,0.9089577400530152,0.0,0.065,Cc1ccc(Nc2ncnn3c(C)ccc23)cc1O,254.293,2.795340000000001,2.0,5.0,0.0,EGFR_P_STAT3,STAT3
N#C/C(=C\c1ccc(O)cc1)C(=O)O,EGFR P STAT3,CHEMBL76602,165000.0,0.241351306438446,0.1,0.9077083000198508,0.0,0.695,N#C/C(=C\c1ccc(O)cc1)C(=O)O,189.17,1.3837799999999998,2.0,3.0,0.0,EGFR_P_STAT3,STAT3
