,Molecula,Afinidad_1,Afinidad_2,CNN afinity_1,CNN afinity_2,CNN_1,CNN_2,Ruta_1,Ruta_2,Target_1,Target_2
20,EGFR_MAPK1_1015,-7.98966694,-6.38451195,7.60449171,6.53129959,0.707517028,0.487599015,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1015_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1015_MAPK1.pdbqt,EGFR,MAPK1
21,EGFR_MAPK1_1016,-7.77309275,-7.85031271,6.93143129,6.730021,0.471608877,0.584287107,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1016_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1016_MAPK1.pdbqt,EGFR,MAPK1
22,EGFR_MAPK1_1017,-8.75475121,-7.06575394,6.68546438,6.0321908,0.578326225,0.681587696,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1017_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1017_MAPK1.pdbqt,EGFR,MAPK1
23,EGFR_MAPK1_1018,-6.99432373,-5.86881256,5.96495581,5.06162405,0.450061649,0.280287951,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1018_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1018_MAPK1.pdbqt,EGFR,MAPK1
24,EGFR_MAPK1_1019,-8.26639462,-8.8303051,6.71395254,7.41689682,0.698711693,0.745593846,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1019_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1019_MAPK1.pdbqt,EGFR,MAPK1
25,EGFR_MAPK1_102,-8.72964668,-7.42480946,7.26886702,6.17543459,0.595378041,0.573877454,Mejores_poses/bases_conjuntas/EGFR_MAPK1_102_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_102_MAPK1.pdbqt,EGFR,MAPK1
26,EGFR_MAPK1_1020,-8.0418148,-9.22010899,7.14298677,7.35983467,0.554563999,0.537467659,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1020_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1020_MAPK1.pdbqt,EGFR,MAPK1
27,EGFR_MAPK1_1021,-7.31691742,-6.8059864,6.8551383,5.62764597,0.538349867,0.446493894,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1021_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1021_MAPK1.pdbqt,EGFR,MAPK1
28,EGFR_MAPK1_1022,-9.19853115,-8.21476936,6.67060995,5.78549147,0.130038753,0.15818505,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1022_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1022_MAPK1.pdbqt,EGFR,MAPK1
29,EGFR_MAPK1_1023,-7.4651103,-8.37244892,7.31523275,7.22633553,0.632524252,0.730633378,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1023_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1023_MAPK1.pdbqt,EGFR,MAPK1
30,EGFR_MAPK1_1024,-9.69649792,-9.16117477,7.27324438,7.15833426,0.835232615,0.781052887,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1024_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1024_MAPK1.pdbqt,EGFR,MAPK1
31,EGFR_MAPK1_1025,-8.64911938,-7.65819836,6.49592781,6.43625259,0.489564419,0.467106164,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1025_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1025_MAPK1.pdbqt,EGFR,MAPK1
32,EGFR_MAPK1_1026,-6.61432886,-7.70916033,6.44803953,6.79906988,0.359064907,0.389991105,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1026_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1026_MAPK1.pdbqt,EGFR,MAPK1
33,EGFR_MAPK1_1027,-11.2043161,-10.3968697,7.94021225,7.3889823,0.730901659,0.339732438,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1027_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1027_MAPK1.pdbqt,EGFR,MAPK1
34,EGFR_MAPK1_1028,-8.57536602,-7.64887762,6.56688452,6.94187593,0.434364289,0.608191073,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1028_EGFR.pdbqt,Mejores_poses/bases_conjuntas/EGFR_MAPK1_1028_MAPK1.pdbqt,EGFR,MAPK1
